Country,GDP,Per Capita,DPT Immunization,HepB3 Immunization,Measles Immunization,Hospital beds,Basic sanitation services,Urban population,Rural population,"Population, female (percent of total)",Medical doctors (number),Life expectancy total population
Kenya,83945955532.87698,1666.0038919872761,88.8,88.8,91.8,1.525,32.467107205999994,26.5724,73.4276,50.366377862,8042.0,65.82813225228435
Kiribati,185054343.3665734,1619.5265111278482,88.2,88.4,84.6,1.692285714285714,44.354441506,53.244600000000005,46.755399999999995,51.35424646,,67.910235171795
"Korea, Dem. People's Rep.",2032870320199.6382,12668.853095188026,96.6,96.6,98.4,13.566666666666668,83.153579384,61.6918,38.3082,50.777203192,,71.83671777700864
"Korea, Rep.",1593210977339.268,30999.537095853582,97.8,98.0,97.8,11.334842105263158,99.95180051,81.5176,18.482400000000002,49.95636346,,82.627333093266
Kosovo,7187570815.6683855,4017.97298628016,85.68526613821957,81.30778500851066,84.85472700613231,2.9863456167669336,71.10595062072908,55.5587341497717,44.44126585022833,50.118278243999995,,72.055369986398
Kuwait,123814724551.33601,30610.89788128556,95.8,95.8,97.4,2.044222222222223,100.0,100.0,0.0,39.068910412,10150.0,75.28033767649919
Kyrgyz Republic,7667267983.802313,1233.3382522213,94.8,94.8,96.6,5.153333333333333,97.510437104,36.1596,63.8404,50.934203992,,71.33621819990199
Lao PDR,16889788450.867762,2424.910141291944,70.4,70.4,71.8,1.0750000000000002,74.574117946,34.3722,65.62780000000001,49.572457553999996,,67.25301448907263
Late-demographic dividend,20607021136718.52,9017.682550970556,96.48590712647808,96.77975588417594,97.53322565593272,3.7076724494114472,88.76228175273248,61.561233318391054,38.43876668160896,49.625139786,,76.06605991017877
Latin America & Caribbean,5556372967134.701,8756.364075748923,86.36356644600835,83.39306534911222,89.94631472572732,1.8992361643667697,86.80100208396611,80.38055905261231,19.61944094738768,50.659936908,,75.33514709451967
Latin America & Caribbean (excluding high income),4796472847910.072,8310.224521997798,86.8268574596261,83.6027972752435,89.88647037294689,1.9386656569208196,85.73470581663796,79.69073193631354,20.30926806368646,50.672498098,,75.30096347688873
Latin America & the Caribbean (IDA & IBRD countries),5317313995248.451,8595.05212974009,86.2099809461861,83.20260786414421,89.83946458658818,1.8417915881381919,86.63506632043467,80.3917574438345,19.6082425561655,50.656009606000005,,75.24716588954449
Latvia,30889233243.6587,15908.48648490408,97.0,97.0,96.4,5.865052631578948,92.137611552,68.088,31.912,54.017321874000004,6292.8,75.247538390142
Least developed countries: UN classification,1015700543847.7897,1028.2613396636839,77.81265235241186,77.54959506043348,74.08278342130592,2.9863456167669336,34.8452523100491,33.045906469490184,66.95409353050984,50.271154852,,64.70715208739736
Lebanon,52401993479.06024,7754.775047469835,83.0,80.0,82.0,3.0431111111111115,96.538927922,88.43039999999999,11.5696,50.848362812,14123.8,78.94928125779992
Lesotho,2332257415.609028,1114.759330205062,86.2,86.2,90.6,1.3,44.559454684,27.7386,72.26140000000001,50.709653431999996,998.0,52.93111756837968
Liberia,3351710000.0,713.2374996413736,81.2,81.2,83.4,0.75,17.527437432,50.7074,49.2926,50.314600948,207.0,63.25027679753623
Libya,39324311868.94802,5938.577601533954,87.2,87.2,87.0,3.608222222222223,92.08974452999999,79.8244,20.1756,49.274510750000005,12957.5,72.60100234737169
Liechtenstein,6500700070.377906,172078.04151988678,85.68526613821957,81.30778500851066,84.85472700613231,2.9863456167669336,99.95,14.325999999999999,85.674,50.367996182,,83.01532609370801
Lithuania,48099954741.60324,16970.5269361259,93.0,93.6,93.4,6.802947368421053,93.24849335,67.5292,32.470800000000004,53.481556168,12790.6,75.730184572878
Low & middle income,29394193563672.82,4669.870734609274,84.60395948924324,84.29316579158129,84.48188462513988,2.1317685732508074,70.2243456674513,49.63051190428814,50.36948809571186,49.566297186,,70.83244483666594
Low income,417712565411.1362,678.7733428943623,72.81910906066369,72.65822973747588,69.0422858979279,0.702602714717175,28.36408956130802,32.2028366922321,67.7971633077679,50.257807029999995,,63.021391381251625
Lower middle income,7105052178782.135,2222.221561701212,83.19674296521671,83.13700552301255,83.73427920095676,0.8410587599698134,64.2713936799875,40.98732731955802,59.01267268044198,49.276035926,,68.65347258378222
Luxembourg,65843574749.91667,110516.71228857219,99.0,94.8,99.0,4.6339999999999995,97.601682684,90.714,9.286000000000005,49.76471961,1706.3333333333333,82.40907536461
"Macao SAR, China",50209726234.32088,80621.52516319933,85.68526613821957,81.30778500851066,84.85472700613231,2.9863456167669336,100.0,100.0,0.0,52.735625463999995,,84.12095829316888
Madagascar,12842529153.739841,501.0839615010608,74.8,74.8,61.6,0.3066666623,11.132319598,36.5246,63.4754,49.847009623999995,5230.0,66.3030414856387
Malawi,8331166020.292013,467.7904188340526,89.4,89.4,86.0,1.2000000000000002,25.72065195,16.7288,83.2712,51.44072991200001,1649.5,63.283140058722964
Malaysia,329158041386.3864,10569.04794116335,98.0,98.2,94.4,1.796,99.35778067326315,75.4286,24.5714,48.737822736,56630.6,75.89272956016674
Maldives,4830292483.090452,9732.17885331838,99.0,99.0,99.0,2.63200000954,96.13036422,39.3818,60.6182,42.318184012,946.3333333333334,78.29620918309399
Mali,15369528977.82082,827.213187061758,75.6,75.6,69.2,0.3333333333333333,40.409458804,41.567600000000006,58.432399999999994,49.48968474,2174.5,58.42101977443578
Malta,13222936400.67878,27954.44714486304,97.4,95.2,93.0,5.133111111111111,99.964543944,94.546,5.454,48.96566035,1240.0,82.356968916082
Mauritania,6921754008.997066,1612.408993830782,78.0,78.0,75.2,0.4,47.230229336,52.81079999999999,47.1892,51.123811398,768.0,64.46584333764353
Mauritius,13082372408.4267,10346.497405405718,96.0,91.8,95.6,3.233333333333333,94.65599236177778,40.862,59.138,50.53254907,2786.2,74.49791516112019
Mexico,1180222686305.922,9457.28914231948,87.0,68.8,87.8,1.001157894736842,90.33178247,79.86580000000001,20.1342,51.057525134,296531.2,75.0135179547568
"Micronesia, Fed. Sts.",365082260.0,3272.9285904323397,73.4,80.2,74.2,3.1525,88.30933155,22.621000000000002,77.37899999999999,49.626869392,,67.62577351264288
Middle East & North Africa,3240119908645.848,7339.974259754497,89.63541638693914,89.61128875478514,89.50568420084554,1.6081419602311235,90.55553699725408,65.03883641089018,34.96116358910984,48.142696203999996,,73.91937256738183
Middle East & North Africa (IDA & IBRD countries),1351857827877.47,3635.859121224734,88.54561315779274,88.50309497564504,88.3704868170918,1.5033714926792976,88.8827510035161,61.08611753164212,38.91388246835788,49.4781262,,73.42056840286236
Middle East & North Africa (excluding high income),1367641007877.468,3634.604875876066,88.70843043847847,88.66657422949666,88.53601522408734,1.5033714926792976,88.98101164680308,61.261835882159744,38.73816411784026,49.486385274,,73.42494206268195
Middle income,28976212873556.98,5103.305707663232,86.90941866498902,86.5684142043903,87.5041189115955,2.1792379392887145,74.7825329886598,51.52183046518148,48.47816953481852,49.502972452,,71.68003999305819
Moldova,9782686905.881792,3568.9283416425656,89.6,91.0,92.0,6.329333333333334,77.079591756,42.5826,57.4174,52.447789562000004,,71.91175087216034
Mongolia,12333308813.8264,3956.500955743344,98.8,98.8,98.4,7.078545454545454,64.29957552200001,68.37559999999999,31.6244,50.303790506,10201.0,69.63874708131092
Montenegro,4863694950.970301,7816.767923024427,87.4,74.8,50.6,3.9635555555555557,96.60320734199999,66.4774,33.5226,51.234393852000004,1640.6,76.7167231824078
Morocco,110428170372.25,3053.883613615302,99.0,99.0,99.0,1.0295555555555558,84.47337360200001,61.9048,38.0952,49.670088288,26003.0,76.17717080198348
Mozambique,14267524882.437359,498.0320762563666,88.0,88.0,87.0,0.7666666666666666,32.42532912200001,35.4594,64.5406,51.00933503,2407.6666666666665,59.11177151760298
Myanmar,64125785002.19051,1201.1507501477479,89.8,89.8,87.0,0.907,72.212518316,30.338600000000003,69.6614,50.155396844,38790.0,66.47872923263847
Namibia,12226234273.62842,5081.759078008932,88.2,88.2,80.4,3.0,34.418854306,48.988,51.012,51.691950176,1433.0,62.968169433452736
Nepal,29030837737.07182,1044.641950451019,90.4,90.4,88.2,1.4125,65.65597290999999,19.345599999999997,80.6544,52.418242254000006,23109.0,70.20765703654664
Netherlands,840878902015.5339,49046.595939962484,94.2,92.6,93.8,3.4891111111111117,97.71416592599999,91.05019999999999,8.9498,50.372421256,61764.6,81.78186475360799
New Caledonia,9184298057.986065,34011.81277443812,85.68526613821957,81.30778500851066,84.85472700613231,2.9863456167669336,100.0,70.2486,29.7514,49.908770734,,77.42491185533399
New Zealand,199815060825.6524,41553.0804485978,92.6,92.6,92.4,2.676,99.999997928,86.47200000000001,13.528,50.795321574,15472.6,81.7285804197722
